,チャンネル名,チャンネルURL,
,ゆうりASMR,https://www.youtube.com/channel/UCLwZwXDhvXab7dT6ZHnOJJQ,
,Andome ASMR,https://www.youtube.com/channel/UCll_lF4fNWJAJ9x1i6q2LYg,
,ASMR ALICE,https://www.youtube.com/c/ASMRALICE_CHANNEL,
,音蜜 onmitsu ASMR,https://www.youtube.com/c/onmitsuASMR,
,さくらのASMR,https://www.youtube.com/channel/UCnbVBwIyC-Zrkeo99qIfleQ,
,Kanase Channel / 黒月かなせ【asmr声優】,https://www.youtube.com/c/KurotukiKanase,
,【ASMRサークル】D brustディーブルスト公式チャンネル,https://www.youtube.com/channel/UCGtIwy2lsFpJ67KZHuKcHNA/videos,
,あおい ゆら / Yura ch. ,https://www.youtube.com/channel/UCLW1EPIkqCHhCTcF3Ijqm_A,
,benio店長 / ASMR屋さん,https://www.youtube.com/channel/UC6VLBHsXtXtEMA3HpwAM2Rw/videos,
,【ASMR】おふじこ,https://www.youtube.com/channel/UCOx4NEqe2dtXmHLulL5O8lQ,
,mirin ASMR,https://www.youtube.com/channel/UCx70V0ucWvy33hQ8s48ausg/,
,こまるCh. - Komaru Kurikoma -/あおぎり高校,https://www.youtube.com/channel/UCXXnWssOLdB2jg-4CznteAA,
,さきASMR,https://www.youtube.com/channel/UCPl5HVclVuUuLZwWr6NlNFg,
,NOIRのASMRちゃんねる,https://www.youtube.com/c/NoirAsmrChannel,
,【ASMR】早乙女れい-Saotome Rei-,https://www.youtube.com/channel/UCVxL0YcGTVo2M13EMTA6TEQ,
,魔暗ヤミ💜毎週日曜24時ASMR,https://www.youtube.com/channel/UCo3pE0ApVNjZFxVCt9ImI2g,
,UNG Ch.　うに爺の遊び場,https://www.youtube.com/c/ASMRUnicolony,
,潤主アシュリ Vsinger / ASMR,https://www.youtube.com/c/Urusu_Ashli,
,でぐりんASMR,https://www.youtube.com/channel/UCuY8wZtgxgc2bzPbvJq5bww,
,ASMR TERA テラ,https://www.youtube.com/c/TeraBite,
,ASMR Cham,https://www.youtube.com/c/ASMRCham%E3%81%A1%E3%82%83%E3%82%80,
,織鶴ユキASMR　--yuki channel--,https://www.youtube.com/c/orizuruyukichannel,
,兎桃みみこ ASMR ch.,https://www.youtube.com/channel/UCLPk_IREEw2cMA38OAVMpOA,
,賭雨るぅる,https://www.youtube.com/channel/UCb1WRIxK9AJua80LfWB1MNA,
,ASMR Zhen,https://www.youtube.com/c/ASMRZhen,
,Ito Channel-奏星イト-,https://www.youtube.com/channel/UCwvycbDmTqmtVTkl9eUp0cA,
,♡Necoma Ch.♡猫羽かりん 【けもりふ】 ,https://www.youtube.com/channel/UC2L0MeiLsfJf4rH_xTVteDw,
,《DAi》 ASMR ・ボイスドラマ,https://www.youtube.com/channel/UCyqCAt0yohZLsflXBBxjJyw,
,志帆【男性向けボイス】,https://www.youtube.com/channel/UCpW5jLE1DGpQXN_KjknRM9Q,
,御門モモ,https://www.youtube.com/channel/UCXwBmY44rKiHaTkH9vzOfag,
,色葉つまみのおつまみボイス,https://www.youtube.com/channel/UCMXaz0_uPyCQLf6CM5_mn2A,
,稀一こみ,https://www.youtube.com/channel/UCfq_OFgAQECrBfGF8G6LE5g,
,心城ゆあら🎀.*YuaraCh.*,https://www.youtube.com/channel/UCiZyc9uhPft4ax1CTTMM2Bg,
,ルカと君の秘密の部屋,https://www.youtube.com/channel/UCOQPcjinyZu4e5U8aqUBfLw,
,にさ,https://www.youtube.com/channel/UC0R0eNIab3jQKCcJIBGJn6g,
,Mari【いるかStream】,https://www.youtube.com/channel/UC9y5fbOjlvyimJnEZQAxGRw,
,大人向け声優　羽生羽見,https://www.youtube.com/channel/UCQXdNyrYx10YMa0gL4tzI2A,
,浮島どら ちゃんねる,https://www.youtube.com/channel/UCWOKyvpEFj03sMKF1oLA_EA/videos,
, サンカノ,https://www.youtube.com/c/%E3%82%B5%E3%83%B3%E3%82%AB%E3%83%8E/featured,
,恋Logチャンネル,https://www.youtube.com/channel/UCJt6SB27I4dDNtVuss4nX7g,
,ハカハジ【旧博多FOX】,https://www.youtube.com/channel/UCIx3RySiiNAO8GcEexpRw1Q/videos,
,ぺーチューブ,https://www.youtube.com/channel/UCGF_70PxklQXxJE8YrBBYzQ/videos,
,女優名鑑,https://www.youtube.com/channel/UCIyO9_5JeVhlxGTjPEYG25A,
,さきっちょナースたき,https://www.youtube.com/channel/UCh-ui5GFGcyxV8Sn-Tj557w/videos,
,A N,https://www.youtube.com/channel/UCJzOFKYcmO2suPhEsDIYX9A/videos,
,叡智な雑学ゆっくり解説,https://www.youtube.com/channel/UCx5LwkBskunZ3LVhgCgtKYQ/videos,
,ヤンアニ!,https://www.youtube.com/channel/UCuonSFtCWCuxWcN0C1Cg6FQ/videos,
,でぃのチャン,https://www.youtube.com/channel/UCTO5FL9SlZOmbzFeyPwz0bQ/videos,
,山本トーヴェ,https://www.youtube.com/channel/UChBW_-rl1ZQqJi7jLQ3O5Mw/featured,
,エロ男爵のAV女優ch,https://www.youtube.com/channel/UCZsyPwmE1VB2ph_f3TdLutg/featured,
,ゆっくりで叡智を学ぶ,https://www.youtube.com/channel/UCi1NcfGCEGxqWQS-icDWb8A/videos,
, エチエチ切り抜きチャンネル,https://www.youtube.com/channel/UCthnik2fiU7xkhIA88RHuiw/videos,
,こじみな放送局【小島みなみ公式】,https://www.youtube.com/channel/UCwsuMvl_PnUPkbGExxOmfbg,
,サセラレ妻ゆうこ,https://www.youtube.com/channel/UC49NKDbtNFk_tlxRt7CwKzQ/featured,
,更生,https://www.youtube.com/channel/UCrDKv0RiQWc_8AvzmkSLP-A/featured,
,インキャナンパ師 零時レイ,https://www.youtube.com/channel/UCBl88cQQm3J8ltui9PGoDDA/featured,
,さっchannel,https://www.youtube.com/channel/UC-zbEki0l8lx5HGfb31YmOg/featured,
,津崎まみ,https://www.youtube.com/channel/UCxbMSNEellw7sPcFAHAyQXw/featured,
, アヒル教27,https://www.youtube.com/channel/UCg--QrRi6XccAHKf6tQBqNw/featured,
,【公式】ミッドナイト・ブルー,https://www.youtube.com/channel/UChxPgsBoQkxR2JPoOQgoPLQ/featured,
,都内ヒッピーしいな,https://www.youtube.com/channel/UCbf-v3mRAPLZM7AQZE9cfhg/featured,
,T24 Giabbit,https://www.youtube.com/c/t24Giabbit/featured,
, iroha姉さん,https://www.youtube.com/channel/UCXGEfl9n4tyWtpnTWk_Yl4A/featured,
,女子部屋,https://www.youtube.com/channel/UC_nbD2-aeUuiUI8zpPN-O_Q/featured,
,まなは女子大生だけど妹ポジを譲れない,https://www.youtube.com/channel/UCd0vR8wI-dcLam_RtRXfIvQ/featured,
, ハーフ女子大生リアのコスプレch,https://www.youtube.com/channel/UCCR1ILMygpnuTmfr9jo6orw/featured,
,えちえち部マネージャーあんず,https://www.youtube.com/channel/UC9ADKWEKHDqYsum75U8SxPA/featured,
,女性用性感マッサージ Girls Enjoy!,https://www.youtube.com/channel/UCg_ph1nq-pzqLtEVg5Ab-wg,
, 北条麻妃の夜のレッスン / 刺激LIFE,https://www.youtube.com/channel/UClxvoXVXhoDXQzqPHe1SHvA/featured,
,K Tube,https://www.youtube.com/channel/UCIkc7FPQjSceXPB81lFFYLw/featured,
,くりチューブ,https://www.youtube.com/channel/UC7FMN0Mdl5V0Jk_83Q_Ozmw/featured,
, みりんちゃんねる2,https://www.youtube.com/channel/UCXP75TnQVlKtiv4eHmH7nDg/featured,
,ハッピー💖テクニック,https://www.youtube.com/channel/UCinp4DBcaW4JmQWkwh2pzUw/featured,
,セクテクチャンネル,https://www.youtube.com/channel/UC0LfDpgSw82vYg_mL-OQR6Q/featured,
,Hな雑学,https://www.youtube.com/channel/UC0OJLnQqXiXNxQ1GnI9v_yQ/featured,
,麻美ゆまとオトナの保健室,https://www.youtube.com/channel/UC_Wdncrye4Vf5o5IOEW3lBQ/featured,
,カレンちゃん、寝る act.1,https://www.youtube.com/channel/UCjRGKcD8Cly2h0JJZ1g4JHQ/featured,
,セクテクセカンド,https://www.youtube.com/channel/UCv9jUNgldh6y07fyRLMgWBw/featured,
, まなチャンネル,https://www.youtube.com/channel/UCVqVca9XxDJT30lhShx0YpA/featured,
,アラフォーあやの下着紹介,https://www.youtube.com/channel/UCE0_qJpTty4jCR4-ZCs7sbg/featured,
, りんつらch,https://www.youtube.com/user/rinkarinrinblog,
,ふみのとコスプレイ,https://www.youtube.com/channel/UCIu8L434_h3Y2HZTNYJ4lFA/featured,
, Iカップ女子大生のんちゃんねる,https://www.youtube.com/channel/UCC8ps7Ke4-GY0BWUYBVreTQ/featured,
,ゆりな先生 大人のテクニック,https://www.youtube.com/channel/UC4W6UDPeN69KgBNUlUAsxoA/featured,
,HカップOL美月の生着替え,https://www.youtube.com/channel/UCV0PFKfAcNozdWCARj461UA,
,ぬぎたてゆいにゃんコスプレ生着替え,https://www.youtube.com/channel/UCAdD_VxnYf0VZs7drh-w0pQ/featured,
,美活あい-bikatsuai-,https://www.youtube.com/channel/UCfITPzkgFR8yoSIfBu0eKhA,
,裏サリコ／南サリー,https://www.youtube.com/channel/UCah-90PLLfO6RHQ8L4zeTvQ/featured,
,やみんちゃんねる -Yaming Channel-,https://www.youtube.com/c/yaming,
,BABY ASMR,https://www.youtube.com/c/BABYASMR,
,Macoto ASMR まこと。,https://www.youtube.com/c/rnqqU,
,HiromiVoice,https://www.youtube.com/c/HiromiVoice,
,ぴよこの寝言ちゃんねる,https://www.youtube.com/channel/UCcSmUeshS8-UvXhcvgPfIcw,
,ネコノッテ！ / ユキト＋箱河ノア,https://www.youtube.com/channel/UCxmm4ky5H-5lljCg2VIjWFg,
,賭雨るぅる,https://www.youtube.com/channel/UCb1WRIxK9AJua80LfWB1MNA,
,愛野みみ -Mimi-,https://www.youtube.com/channel/UC0jTm2TGHTBwtk1ldvO9xSg,
,yuki,https://www.youtube.com/channel/UC_hXzedODCU4Hp6gDSohEEg,
,色葉つまみのおつまみボイス,https://www.youtube.com/channel/UCMXaz0_uPyCQLf6CM5_mn2A,
,夜明 ゆき,https://www.youtube.com/channel/UCaGGNYyZt_0l_n2CNu2uiWQ,
,流瀬ちゃん,https://www.youtube.com/channel/UCrznIzlWSnCQKoX35vzBjtA,
,月宮タルト【シチュエーションボイス】,https://www.youtube.com/channel/UC5lxF5-pvaxNfU26e1E9UBw,
,大人向け声優　羽生羽見,https://www.youtube.com/channel/UCQXdNyrYx10YMa0gL4tzI2A,
,ARISU ASMR ROOM 《毎日投稿》,https://www.youtube.com/channel/UC2f727yxBAT_SG5_TdlOufg,
,みゅーみゅールーム,https://www.youtube.com/channel/UC6_YuQXWSdKSNeo8CqcwocA,
,小熊坂りま,https://www.youtube.com/c/%E5%B0%8F%E7%86%8A%E5%9D%82%E3%82%8A%E3%81%BE,
,宵紅のシチュボCh,https://www.youtube.com/channel/UClfwXVeFoBh-wU9qsxQtxxQ,
,ルカと君の秘密の部屋,https://www.youtube.com/channel/UCOQPcjinyZu4e5U8aqUBfLw,
,雪乃瀬りむ-ASMR,https://www.youtube.com/channel/UC_Ee_9oP9jjL3JqZypfLZdQ,
,めるろちゃんねる,https://www.youtube.com/channel/UC2poICJKW6nma4vTFsIbiAQ,
,Killala Clara Ch. 雲母くらら Vtuber,https://www.youtube.com/channel/UCUR1fNuBcffqmWHFHiOB4aA,
,* Tsukina,https://www.youtube.com/channel/UCAT__QJ3-BJPPSuCTBkXIcw,
,かなチャンネル【男性向けボイス】【ASMR】,https://www.youtube.com/channel/UC3yWb8A9ynSO0tLQWRmXqxA,
,ゆめくいゆん 𝔸𝕊𝕄ℝ💜🫧,https://www.youtube.com/channel/UCYRV9PtY5jx0x5PWV6hJD3w,
,ももた ASMR,https://www.youtube.com/watch?v=hDW7uEL5nPw,
,まなだいありー,https://www.youtube.com/channel/UCctt_ahwGjyPYI5THTKrz3g,
,七夕（なな）の耳舐めASMRチャンネル,https://www.youtube.com/channel/UCQoAw2f7JbhEyMm5pDF7gPg,
,耳恋 なか【新人VTuber】,https://www.youtube.com/channel/UCqKU1Z7X6xqdkO3-aaVf6Aw,
,音蜜 onmitsu ASMR,https://www.youtube.com/c/onmitsuASMR,
,umino ASMR,https://www.youtube.com/c/ASMRumino,
,kuma channel,https://www.youtube.com/channel/UCGF0R0b8zA3TW-Cww07J8fA,
,ASMR YMORI わいもり,https://www.youtube.com/c/ASMRYMORI%E3%82%8F%E3%81%84%E3%82%82%E3%82%8A,
,TOKYO ASMR MASSAGE,https://www.youtube.com/channel/UCBkYT6mlOpVVV9t5nRHn9Ow,
,ASMR Crescendo,https://www.youtube.com/channel/UC6MGPTQUtHWy9E8sSZf_8Ng,
,ASMR ALICE,https://www.youtube.com/c/ASMRALICE_CHANNEL,
,八つ橋月美,https://www.youtube.com/channel/UC2F6EUoNI7rhcnhNcTmKC6Q,
,mariko ASMR,https://www.youtube.com/c/marikoASMR,
,Sexy Real ASMR,https://www.youtube.com/channel/UCCLGT4blyxRGHgVOsDEVY4g,
,ぴったん,https://www.youtube.com/channel/UCGo5i_LspDCKKPzTnZTXSMw,
,ASMR Cham,https://www.youtube.com/channel/UCRz3cGfqeMPSHMBN6CxKQ9w,
,Ranmaru ASMRささやき専門,https://www.youtube.com/c/RanmaruASMR,
,いっきちゃんの声優ASMR_Ikki Chihiro ASMR,https://www.youtube.com/channel/UChlqdAROVhNKnGWDOiv-0Fg,
,華月-ハルツキ-,https://www.youtube.com/channel/UC2WRlx5vJsouz24_d4Fb1-w,
,宇内梨沙／うなポンGAMES,宇内梨沙／うなポンGAMES - YouTube,
,おこさまぷれ〜と。,おこさまぷれ〜と。 - YouTube,
,えり_bowling channel,えり_bowling channel - YouTube,
,サンエン台湾 Sanyuan_TAIWAN,サンエン台湾 Sanyuan_TAIWAN - YouTube,
,monamaru Vlog,monamaru Vlog - YouTube,
,れのれらTV / RenoRera TV,れのれらTV / RenoRera TV - YouTube,
,八田エミリHatta Emily,八田エミリHatta Emily - YouTube,
,女子小学生GK Yuna,女子小学生GK Yuna - YouTube,
,ハラミちゃん〈harami_piano〉,ハラミちゃん〈harami_piano〉 - YouTube,
,とくさきチャンネル,とくさきチャンネル - YouTube,
,みおの女子トレ部,みおの女子トレ部 - YouTube,
,SENA,SENA - YouTube,
,あすかだよ,あすかだよ - YouTube,
,ろこまこあこチャンネル,ろこまこあこチャンネル - YouTube,
,【わんぱく女子ライダー】瑠衣チャンネル,【わんぱく女子ライダー】瑠衣チャンネル - YouTube,
,茅ケ崎みなみ,茅ケ崎みなみ - YouTube,
,せんちゃん,せんちゃん - YouTube,
,悪の秘密ぼっち「ヘライザー総統」と言う名のファンタジー,悪の秘密ぼっち「ヘライザー総統」と言う名のファンタジー - YouTube,
,YoshidaAkari,YoshidaAkari - YouTube,
,オトナ女子の山登り,オトナ女子の山登り - YouTube,
,マツヤマイカ Maika Matsuya,マツヤマイカ Maika Matsuya - YouTube,
,とうあ,とうあ - YouTube,
,こつぶちゃんねる / KOTSUBU ch,こつぶちゃんねる / KOTSUBU ch - YouTube,
,ガリガリ克服中みや,ガリガリ克服中みや - YouTube,
,パチ嬢みきのパチンコCLUB,パチ嬢みきのパチンコCLUB - YouTube,
,YUPON [Games],YUPON [Games] - YouTube,
,さえちゃんねる / 宮川紗江,さえちゃんねる / 宮川紗江 - YouTube,
,みっきーチャンネル,みっきーチャンネル - YouTube,
,こももと愉快な仲間たち,こももと愉快な仲間たち - YouTube,
,junjunチャンネル,junjunチャンネル - YouTube,
,あいちゃんねる,あいちゃんねる - YouTube,
,おごせ綾チャンネル,おごせ綾チャンネル - YouTube,
,mystyleゆみい,mystyleゆみい - YouTube,
,えっちゃんねる/悦子,えっちゃんねる/悦子 - YouTube,
,【保育系YouTuber】 mocaちゃんTime,【保育系YouTuber】 mocaちゃんTime - YouTube,
,料理監督うさぎ,料理監督うさぎ - YouTube,
,ガフォーシーズ,ガフォーシーズ - YouTube,
,フジモちゃんねる,フジモちゃんねる - YouTube,
,Suzuna,Suzuna - YouTube,
,Culus.【きゅらーず】,Culus.【きゅらーず】 - YouTube,
,蒼りな,蒼りな - YouTube,
,にゅーえらチャンネル,にゅーえらチャンネル - YouTube,
,しんがき姉妹,しんがき姉妹 - YouTube,
,ワスレナ☆大青春,ワスレナ☆大青春 - YouTube,
,yuimina / ユイミナ,yuimina / ユイミナ - YouTube,
,ぺんたす,ぺんたす - YouTube,
,となりのやんやんぱーく,となりのやんやんぱーく - YouTube,
,こねねこ,こねねこ - YouTube,
,りおぴよ.,りおぴよ. - YouTube,
,えくらちゃんねる。,えくらちゃんねる。 - YouTube,
,tiktokしようよ,https://www.youtube.com/channel/UC16Uqm4_lIQKvohaI5EmvJA/videos,
,夜のTikTok,https://www.youtube.com/channel/UCztbst0KJaXYUX0vUy6n4wA/videos,
,Misaki TikTok Channel,https://www.youtube.com/channel/UCimX9Eq_urn5SRzM4jWhyVQ/videos,
,TikTokまとめ,https://www.youtube.com/channel/UCeKcyzJY396B3qwN2-gke2Q/videos,
,みんなのTikTok,https://www.youtube.com/channel/UCqYtDnpkSbL5e8A4o1HLFsA/videos,
,成瀬（Tiktok）宝庫,https://www.youtube.com/channel/UC9Mi796XLO78plm49BLenzg/videos,
,tiktok（俺専用）,https://www.youtube.com/channel/UCgDan8M5ZZNXqfTcH4EW2Xw/videos,
,TikTok summarize,https://www.youtube.com/channel/UCW_xRjSOnVuk6j16RPAPkXg/videos,
,"TikTok Shorts フェチ&キュート",https://www.youtube.com/channel/UCh8NTYo7qNslNCDUf64zk_Q/videos,
,暇な大学生によるtiktokまとめch,https://www.youtube.com/channel/UCzSsrEml0pGZrN6yvPNu2zQ/videos,
,まとめ TikTok,https://www.youtube.com/channel/UCQ66Y5cBvE2AZZcqM8FGoEA/videos,
,TikTokまとめ倉庫,https://www.youtube.com/channel/UC2S6iFSsuklRmvbq6F__-tQ/videos,
,TikTokセクシーチャンネル,https://www.youtube.com/channel/UCOqD_Z0sPb6AUuODrRWYAMA/videos,
,"バンザイちゃんねる【TikTok】毎週更新!",https://www.youtube.com/channel/UC2-YbENDHaC3cSJ8HJAb7ZQ/videos,
,TikTok　ちゃんねる,https://www.youtube.com/channel/UCPJ3ILw3HxlYp_obWraMplA/videos,
,おかずTikTok,https://www.youtube.com/channel/UCKzuOly9VIg5fD4GT57XfMA/videos,
,夜美女ティックトック,https://www.youtube.com/channel/UCp8ykfVvkBo6ztQPJdWN8Vg/videos,
,ティックトック太郎,https://www.youtube.com/channel/UCm3mCnNkcDHrU4Gbbb7I1nw/videos,
,裏ティックトック,https://www.youtube.com/channel/UC5OLvsQLqK5S0q9JnUTKf-w/videos,
,ティックトック jkjd,https://www.youtube.com/channel/UCK7DLCMmj6luULRNx_rSrFA/videos,
,なおこりすAirline,https://www.youtube.com/channel/UCLRi1GCzhDOAwZU48vuu_-A/videos,
,ティックトックもやってます,https://www.youtube.com/channel/UCfOknwvyIVBrgeiXvYoffYA/videos,
,ティックトック黒歴史bot,https://www.youtube.com/channel/UCWBzNgzxQjshBznq3FrFLMg/videos,
,ティックトックマニア,https://www.youtube.com/channel/UCauWrRL0U8AVPx_OjQAH-tA/videos,
,ティックトック動画紹介,https://www.youtube.com/channel/UCcV5W_yF0F8WC0N_TdHn9hQ,
,裏まとめ,https://www.youtube.com/user/otasukebon1/videos,
,"Kami Tik Tok",https://www.youtube.com/c/KamiTikTok/videos,
,"Tik Tok Suki",https://www.youtube.com/c/TikTokSuki/videos,
,Tik Tok 公式エロチャンネル,https://www.youtube.com/channel/UCDbqNt3OeOCIClOhdL8qugg/videos,
,kt not,https://www.youtube.com/channel/UCHeMEfnXPQkjmVp1E2FF4Wg/videos,
,"ティックトック隊長",https://www.youtube.com/channel/UCT2KlDt1Zs_NthpbiBOrlgQ,
,96%当たる出席番号占いチャンネル,https://www.youtube.com/channel/UCmbFiy5avTj4gvtF1W2vEfw/playlists,
,"Tik Tok 美女まとめ",https://www.youtube.com/channel/UCLeLTzlHALeJYxxTC33Uu3Q,
,Japanese Style,https://www.youtube.com/channel/UCJFLnRORcxXpgi0brLNZiAw/featured,
,TikTok ライブ 生放送事故,https://www.youtube.com/channel/UCNF_pAOq-c8G_2AOAVVsoMw/videos,
,ウクライナの味方,https://www.youtube.com/channel/UCSKaQilo_HsP8nn5BKfZmVw,
,連続アゴ殺人鬼,https://www.youtube.com/channel/UCLgsBxVBCs6LJogtOHoX2tA/featured,
,Origami ZuZi,https://www.youtube.com/channel/UC-MO5w3jexNhYG5kjadLNzQ/videos,
,"Kuromichan♡ろみちゃん",https://www.youtube.com/channel/UCnbDhAFbDXE6DcXYFH2pHiw/videos,
,キャラプロ劇場,https://www.youtube.com/channel/UCQ2H9-ZdxLVZFeFqThQqtJA/videos,
,高身長Tiktokチャンネル,https://www.youtube.com/channel/UCa5N2biSpCaqmxrV73t6oww/videos,
,Good Tiktok,https://www.youtube.com/channel/UCWEYahkljR0APJQ0QlJlULg,
,Mr.じゃっぷ,https://www.youtube.com/channel/UCRkYXLipjoGBA9RvfrnqbVw/videos,
,ベネット,https://www.youtube.com/channel/UCNcraSsL-k_WWJNyl5mbg-w/videos,
,バヤシTV,https://www.youtube.com/channel/UCbCJmNKAL85O1VFeD6Wj60g/videos,
,TikTok美女,https://www.youtube.com/channel/UC0fKWziBy_yM-t5UExCmDfA/videos,
,えちえちTikTokまとめ,https://www.youtube.com/channel/UCNiU1BE-TQgVUvfUPWl5_3A/videos,
,ニヤけてはいけないTikTok,https://www.youtube.com/channel/UCobKO2io5OKzmsZOOc7BKAw/videos,
,"TikTok 裏JK",https://www.youtube.com/channel/UCYo3gk9hpYpxdxKswJ5jsYA/videos,
,流行っているTiktokメドレー,https://www.youtube.com/channel/UCSHdKFfPYjG_DgVdE9j0W-w/videos,
,競馬で毎週150万勝負する男 横けんのちゃんねる,https://www.youtube.com/channel/UCrwE6JB7SVDPvwPr1ZgwzBw,
,悪徳ケイタ。第3シリーズ。,https://www.youtube.com/channel/UCNLiMkoFrklLJae2PyfI2Pg,
,200万負け男,https://www.youtube.com/channel/UC8Wtq2LrucXMTHolA3GBLUw,
,田倉の予想 : 南関東競馬 公認予想士,https://www.youtube.com/channel/UCdQ7uLztBJFQ5WEvKpqCq6w,
,しーいちの馬体検証,https://www.youtube.com/channel/UCDbhEDYjqyJk_hEKjj_bcfg,
,ローコストで競馬を楽しむ!,https://www.youtube.com/channel/UCgv-V-CJAs3to3nTg9cr7sg,
,あらぶるめいかー！,https://www.youtube.com/channel/UCu-YBzcbbEWkhab5NhkXdlA,
,ふるやっち,https://www.youtube.com/channel/UCMSeNyE0htmmt3bOWdXGGEA,
,ワットの競馬チャンネル,https://www.youtube.com/channel/UCVfycui1_u_yC_PN3gT3I8g,
,ちばちゃんの競馬人生,https://www.youtube.com/channel/UCjcwDdgo2l0eeDZ6jzz69LA,
,マリーンカップ,https://www.youtube.com/channel/UCnDMeDN_DPnGXqBBMHa78aw,
,それでも上杉は生きてゆく,https://www.youtube.com/channel/UCaFzau_LcP027tdUZv3EIxA,
,じゃいちゅ〜ぶ,https://www.youtube.com/channel/UCtU8X3TmK8HCfjSL1QlAy8A,
,トーマス,https://www.youtube.com/channel/UCWNXsfdSxVioVm7nVyRvkAQ,
,競馬の大根おろし,https://www.youtube.com/channel/UCs-MHSk6VOjCMuDu_RHle8A,
,船橋競馬場,https://www.youtube.com/channel/UCfnIcvhLkVVCTd86yemmGnQ,
,ёヤミカラスの裏読みまん馬券講座チャンネル,https://www.youtube.com/channel/UCEWNKZYvMPoWMFWT2ZbXNsQ,
,ひろチャンネル,https://www.youtube.com/channel/UCJ6MAp8upQTvn-PLpsdCSCQ,
,面白い 競馬チャンネル,https://www.youtube.com/channel/UCNShzlhv1EhV4JRgPy3sIMQ,
,SPAIAch【馬神の競馬予想】,https://www.youtube.com/c/SPAIAch,
,競馬全レース予想TV,https://www.youtube.com/channel/UCztTkAXjEXeQ5yGRn6mKOCQ,
,タコル競馬,https://www.youtube.com/channel/UCN-9wNGk1ouwXISXQmbvW8w,
,そのだけいば・ひめじけいば,https://www.youtube.com/c/sonodahimejiweb,
,netkeiba【ネットケイバ】,https://www.youtube.com/c/netkeibaTV,
,サラリーマン馬太郎,https://www.youtube.com/channel/UCkNvi5dZEo7p5NtZaL2oWIg,
,チネリ競馬,https://www.youtube.com/channel/UCEMfxsyQbKUlEMuuemVXm3w,
,お兄ちゃんネル,https://www.youtube.com/channel/UCfE1BS_u3fj7u8rMfzbqbCA,
,キング予想TV,https://www.youtube.com/channel/UCqieW0guSxw9ck_bstQ5rDg,
,東スポレースチャンネル,https://www.youtube.com/user/tokyosportsmovie,
,馬券主婦 / マリ,https://www.youtube.com/c/marikeiba/featured,
,ニートボクロチキン,https://www.youtube.com/channel/UC9Wv6SreCwLZow6XqfzTq6g,
,みんなの楽しい競馬チャンネル,https://www.youtube.com/channel/UCa0FSH8TCciMUqDfzdKk2XA,
,競馬データ検証チャンネル,https://www.youtube.com/channel/UCsAv91bdbmKom_wTCGXJP2g,
,競馬ナンデ編集長おくりばんと,https://www.youtube.com/channel/UCBNtzeiDkNOOlBmmtJ-Tu-A,
,競馬番付,https://www.youtube.com/channel/UCfd9MHl-4X2mWzaONkbairw,
,GOLD TV,https://www.youtube.com/channel/UCLDrpUhJbKcn1dDYNSpFw5Q,
,競馬AI【Monarch】- ヨルゲンセンの競馬 -,https://www.youtube.com/channel/UC_iZouVX5XAAAvwHPfOu2zA,
,一度きりの競馬人生,https://www.youtube.com/channel/UCCunUrq30ND1CwCUQI62dzA,
,ナンゴウサンの真地獄競馬,https://www.youtube.com/channel/UCOkKP89nlwpNuDq1SHSv8Cg,
,瀧川尾島競馬予想チャンネル,https://www.youtube.com/channel/UC1FfLN9TCkqsXSFVOCar0jg,
,競馬界のTKG【穴馬探しお手伝いします】,https://www.youtube.com/channel/UCGn3Rp7O0f2QoHnF9PnMtRA,
,アンカッちゃんねる,https://www.youtube.com/channel/UC8RYeC7Cbr03_cdtiYOalgw,
,リンちゃんねる,https://www.youtube.com/channel/UCpESKGvyEYgw4Uj54HO-Byg,
,フランケルJr.の競馬予想ちゃんねる,https://www.youtube.com/channel/UCWAO2JZ66M4PgK3Kpci6BBQ,
,予想屋マスター,https://www.youtube.com/channel/UCwjeGsLq-HHyFix_Aa5go_Q,
,Almond Eye【競馬】,https://www.youtube.com/channel/UCT62SLi-Zg_7KBMMqUJb1cw,
,アップルパイ,https://www.youtube.com/channel/UCyo17jhrC5-7uh7gCrNI5eg,
,アギョウの競馬予想TV,https://www.youtube.com/channel/UCfCF0xys4sFKkUlRmjWD1Dw,
,競馬予想SNSウマニティ,https://www.youtube.com/c/UmanityJpKeiba,
,漢気競馬【たぁ〜さんTV競馬専用チャンネル】,https://www.youtube.com/channel/UCIsQOtEi90ya3zI1S8k0vPA/featured,
,ごっつぁん【GOTTSAN】,https://youtube.com/channel/UCpdfD_hkMkoRuI4HpOq1Lnw,
,小玉歩【クビでも年収1億円】,https://youtube.com/c/KodamaAyumu,
,X SHOW,https://youtube.com/channel/UCwd2zT96e5aquA99cad1HXA,
,ひらち【好きなことを仕事に変える専門家】,https://youtube.com/channel/UCz_qKRSQ_PeEaXMhfgHQzfA,
,湯浅みつえ(起業･副業コンサルタント),https://youtube.com/c/%E6%B9%AF%E6%B5%85%E3%81%BF%E3%81%A4%E3%81%88,
,SAWA社長【ゼロから始める副業ビジネス】,https://youtube.com/channel/UCEKWx4o4Bv1RRUi4LTrRcYQ,
,あべむつき【ラッキーマイン】,https://youtube.com/channel/UCPzSiosPjlAmQuO5VjYQFzg,
,ブックメーカー投資家一撃の龍,https://youtube.com/user/shigureasa8,
,嶋田かおり【在宅*副業コンサルタント】,https://youtube.com/channel/UCHvL0jTYwLFTRxaZWeOtBCQ,
